name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10025,2018-01-01,-7.7,-13.8,-10.6,-12.3,-21.6,-17.4,-19.8,48.1,0,0,0,,0,0.1,50,19.1,299.8,1027.6,2,16,106.7,9.2,5,,2018-01-01T07:20:16,2018-01-01T16:38:54,0.5,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-02,-3.3,-10.8,-7.4,-6.8,-18,-13.3,-15.7,51.9,0,0,0,,0,0,41.5,25.4,270,1028,7.4,16,104.4,9,5,,2018-01-02T07:20:21,2018-01-02T16:39:46,0.5,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-03,-1.6,-8.5,-5,-1.6,-14.8,-7.7,-16.1,42.1,0,0,0,,1.9,0.6,37.1,15.4,249.7,1024.1,11.6,16,91.3,7.9,4,,2018-01-03T07:20:24,2018-01-03T16:40:39,0.52,Clear,Clear conditions throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-04,-1.8,-6.1,-4,-4.9,-14,-10.6,-9.7,67.2,18.66,100,66.67,snow,10.6,5.9,68.9,46.6,332.8,999.5,77.4,8.6,11.1,0.9,1,,2018-01-04T07:20:25,2018-01-04T16:41:33,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-05,-7.1,-12.7,-10.4,-14.3,-22.3,-19,-20.5,43.7,7.77,100,45.83,snow,5.6,16.5,54.7,38.8,287.3,1009.2,12.6,16,110.1,9.6,5,,2018-01-05T07:20:24,2018-01-05T16:42:29,0.58,Snow,Clear conditions throughout the day with a chance of snow throughout the day.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-06,-11,-13.7,-12.4,-13.3,-22.7,-20.5,-22.9,41.6,0.17,100,8.33,snow,0,15.3,50.2,27.5,291,1023.2,3.7,16,112.6,9.7,5,,2018-01-06T07:20:20,2018-01-06T16:43:27,0.63,Snow,Clear conditions throughout the day with snow clearing later.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-07,-7.8,-15,-11.4,-12.4,-22.9,-17.3,-20.4,47.9,0,0,0,,0,14.5,44.6,19.4,270.3,1032.7,18.7,16,113,9.7,5,,2018-01-07T07:20:14,2018-01-07T16:44:25,0.68,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-08,-0.5,-8.3,-4.1,-3.9,-14.4,-8.3,-11.4,57.1,2.61,100,20.83,"rain,snow",0,13.1,35.3,19.3,238.5,1022.1,77,15.7,49,4.2,3,,2018-01-08T07:20:05,2018-01-08T16:45:25,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-09,6.2,-0.8,2.5,3.5,-5.6,-0.7,-5.5,56.8,0,0,0,,0,11.9,51,32.2,290.3,1021.2,16.8,15.2,111.7,9.7,5,,2018-01-09T07:19:55,2018-01-09T16:46:26,0.78,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-10,4.8,-1.3,1.9,3.3,-4.4,-0.1,-5,60.5,0,0,0,,0,9.4,,13.4,163.4,1030.8,28.3,16,108.4,9.3,5,,2018-01-10T07:19:42,2018-01-10T16:47:29,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-11,11.4,5.1,7.5,11.4,3.2,6.7,3.7,77.3,0,0,0,,0,6,35.3,13.8,98.1,1027.2,77.4,13.9,47.9,4.3,2,,2018-01-11T07:19:27,2018-01-11T16:48:32,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-12,16.1,6.3,12.8,16.1,4.8,12.5,12,95.1,13.44,100,58.33,rain,0,0.5,50,27.1,163.5,1011.8,99.4,7.5,11,0.9,0,,2018-01-12T07:19:09,2018-01-12T16:49:36,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-13,13.7,-6.6,2.5,13.7,-13.6,-1.5,-3,68.6,2.55,100,25,rain,0,0,51.3,26.8,291.4,1010.2,49.3,13.9,95.9,8.3,5,,2018-01-13T07:18:50,2018-01-13T16:50:42,0.95,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-14,-4.4,-9.3,-7.4,-9.7,-16.2,-13.3,-17.9,43.9,0,0,0,,0,0,38.9,20.7,359.6,1035.4,3.6,16,120.2,10.4,5,,2018-01-14T07:18:28,2018-01-14T16:51:48,0.98,Clear,Clear conditions throughout the day.,clear-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-15,-1.2,-8.8,-5.2,-5,-16,-10.6,-11.6,60.9,0,0,0,,0,0,40.7,19.1,52.6,1036.1,35.5,15.6,101.8,8.8,5,,2018-01-15T07:18:04,2018-01-15T16:52:55,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-16,1.5,-3.9,-0.8,1,-7.3,-3.3,-4.5,76.3,0,0,0,,0,0,,9.6,59.2,1031.1,94.3,16,43.3,3.7,2,,2018-01-16T07:17:38,2018-01-16T16:54:04,1,Overcast,Cloudy skies throughout the day.,cloudy,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
10025,2018-01-17,2.1,-4.9,-0.2,1.2,-11.3,-3.5,-3.1,81.7,3.94,100,45.83,"rain,snow",0,0,38.9,19.3,324.2,1023.5,91.4,10.4,28.8,2.4,2,,2018-01-17T07:17:09,2018-01-17T16:55:12,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72502594741,72505394728,KTEB,KLGA,KNYC,F1417,72503014732"
